Isolate,Stx_gene,No._of_contig
SRR14419381,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
SRR25523643,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25523643,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15415573,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR15415573,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR6929622,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929622,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR15376147,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,3
SRR15376147,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,2
SRR7460819,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR7460819,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6929633,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR6929633,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR4301527,stx1a_A_lcl|AF461168.1_cds_AAM70035.1_1,1
SRR4301527,stx1a_B_lcl|AF461168.1_cds_AAM70036.1_2,1
SRR13160359,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR13160359,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929626,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929626,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381616,stx2a_A_lcl|AF461171.1_cds_AAM70041.1_1,5
DRR381616,stx2a_B_lcl|AF461171.1_cds_AAM70042.1_2,2
SRR15415556,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415556,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR15415580,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415580,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6929605,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR6929605,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
DRR381723,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
DRR381723,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415538,stx2c_A_lcl|AB015057.1_cds_BAA34372.1_1,1
SRR15415538,stx2c_B_lcl|AB015057.1_cds_BAA34373.1_2,1
SRR6118141,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
SRR6118141,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR15415574,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR15415574,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR3195840,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR3195840,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR25510170,stx1a_A_lcl|AB035142.1_cds_BAA86997.1_1,1
SRR25510170,stx1a_B_lcl|AB035142.1_cds_BAA86998.1_2,1
SRR7896257,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
SRR7896257,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6373397,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,3
SRR6373397,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,2
DRR381603,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,1
DRR381603,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
SRR6118142,stx2a_A_lcl|X07865.1_cds_CAA30714.1_1,2
SRR6118142,stx2a_B_lcl|X07865.1_cds_CAA30715.1_2,1
